20 :2021-08-17 09:28:24,859 : INFO : logger : beams_minimum_height set to 25
20 :2021-08-17 09:28:24,863 : INFO : logger : frame's name get successfully
20 :2021-08-17 09:28:24,863 : INFO : logger : frame's name get successfully
20 :2021-08-17 09:32:32,858 : INFO : logger : File opened successfully
20 :2021-08-17 09:32:32,884 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:32:32,900 : INFO : logger : False lock successfully
20 :2021-08-17 09:32:32,909 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:32:32,918 : INFO : logger : stories  get successfully
20 :2021-08-17 09:32:32,918 : INFO : logger : columns_minimum_width set to 25
20 :2021-08-17 09:32:32,918 : INFO : logger : columns_minimum_height set to 25
20 :2021-08-17 09:32:32,918 : INFO : logger : beams_minimum_width set to 25
20 :2021-08-17 09:32:32,918 : INFO : logger : beams_minimum_height set to 25
20 :2021-08-17 09:32:32,920 : INFO : logger : frame's name get successfully
20 :2021-08-17 09:32:32,921 : INFO : logger : frame's name get successfully
20 :2021-08-17 09:56:14,667 : INFO : logger : File opened successfully
20 :2021-08-17 09:56:14,693 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:56:14,708 : INFO : logger : False lock successfully
20 :2021-08-17 09:56:14,716 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 09:56:14,725 : INFO : logger : stories  get successfully
20 :2021-08-17 09:56:14,725 : INFO : logger : columns_minimum_width set to 25
20 :2021-08-17 09:56:14,725 : INFO : logger : columns_minimum_height set to 25
20 :2021-08-17 09:56:14,725 : INFO : logger : beams_minimum_width set to 25
20 :2021-08-17 09:56:14,725 : INFO : logger : beams_minimum_height set to 25
20 :2021-08-17 09:56:14,726 : INFO : logger : frame's name get successfully
20 :2021-08-17 09:56:14,727 : INFO : logger : frame's name get successfully
20 :2021-08-17 09:56:14,798 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:32:48,566 : INFO : logger : File opened successfully
20 :2021-08-17 10:32:48,592 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 10:32:48,603 : INFO : logger : False lock successfully
20 :2021-08-17 10:32:48,611 : INFO : logger : units set to kgf_centimeter
20 :2021-08-17 10:32:48,620 : INFO : logger : stories  get successfully
20 :2021-08-17 10:32:48,620 : INFO : logger : columns_minimum_width set to 25
20 :2021-08-17 10:32:48,620 : INFO : logger : columns_minimum_height set to 25
20 :2021-08-17 10:32:48,620 : INFO : logger : beams_minimum_width set to 25
20 :2021-08-17 10:32:48,620 : INFO : logger : beams_minimum_height set to 25
20 :2021-08-17 10:32:48,622 : INFO : logger : frame's name get successfully
20 :2021-08-17 10:32:48,622 : INFO : logger : frame's name get successfully
